features,1,2,3,4,5,mean_gain,cumulative_gain
AGE,1261228.4301793575,1256385.208092928,1178566.6629486084,1250720.110913515,1246372.8961613178,1238654.6616591453,0.1332685636344082
I10_NPR,1189605.2736411095,1188199.9864675999,1341956.9556601048,1186279.8640418053,1198230.5443598032,1220854.5248340846,0.2646219859944969
DRG_NoPOA,719129.6540923119,731828.5093462467,621881.2192707062,689232.03622365,800719.3503217697,712558.1538509369,0.3412871006621327
HOSP_NIS,467583.51803159714,481750.9760725498,469577.51590800285,473305.3782055378,469936.71008610725,472430.81966075895,0.392116584215266
APRDRG,414884.4168138504,430498.7235176563,442642.18629693985,426890.7258324623,449490.9473205805,432881.3999562979,0.43869089114836557
DRG,451878.6341779232,450032.7531580925,381357.08127141,450965.8331153393,333058.75900387764,413458.61214532855,0.4831754735493049
NIS_STRATUM,278371.8478834629,293838.683413744,286958.14489889145,285745.0500781536,291789.9548764229,287340.73623013496,0.5140908597149294
source,262822.67557811737,258515.54826712608,262436.2324786186,273180.3629670143,260849.4222919941,263560.8483165741,0.5424477349382203
PAY1,247050.06761026382,246575.40899896622,281370.72652077675,248060.1088526249,239109.42215538025,252433.14682760238,0.5696073654088848
AMONTH,229336.54947066307,229766.78923773766,230013.5734386444,227326.12150859833,234576.91112542152,230203.988956213,0.5943753301215127
ELECTIVE,221461.84363126755,215919.3768594265,227371.29096484184,228133.671551466,209657.97712278366,220508.83202595712,0.6181001795266223
Pa,204920.11644387245,195811.7441842556,200342.69936442375,193141.1057932377,202868.25858569145,199416.7848742962,0.6395557064845488
TRAN_IN,160557.30476117134,159956.3936560154,158172.13203144073,155374.62345051765,164647.8251504898,159741.65580992698,0.656742531579007
PL_NCHS,161593.27028250694,155297.13775277138,160909.53968310356,163305.18314552307,156917.96860814095,159604.61989440917,0.6739146127902889
DRGVER,139117.71600699425,134010.94759488106,139923.84871649742,132245.13308858871,142214.4270298481,137502.4144873619,0.6887086872342895
MDC,113178.79646062851,136566.2298593521,132856.0731408596,145125.87972187996,129552.25144815445,131455.84612617493,0.7028522030477405
HOSP_DIVISION,114818.95047616959,129415.20679879189,126061.15978384018,130679.06406450272,123997.44045686722,124994.36431603432,0.7163005191203423
RACE,122325.53007626534,124554.48284316063,121749.29700613022,128105.23150086403,114521.45738720894,122251.19976272582,0.7294536943347629
ZIPINC_QRTL,119473.49882054329,118223.19293427467,123327.28294444084,122596.20337176323,125068.31200838089,121737.69801588058,0.7425516211879218
HCUP_ED,109011.91003894806,122452.23852181435,122248.41791152954,116726.50814294815,119542.97357940674,117996.40963892937,0.7552470176639129
YEAR,117270.93209123611,112024.07740688324,112550.15188550949,119702.74561095238,114610.6887743473,115231.7191537857,0.7676449572770239
MDC_NoPOA,131007.29515767097,105612.47672104836,113657.17956709862,104080.5241510868,108076.82514023781,112486.86014742851,0.7797475737234129
Urological___Gastrointestinal_Issues,111017.4895195961,113036.79155993462,108246.23608326912,111129.43669104576,98972.45626544952,108480.48202385902,0.7914191384211335
FED,109684.46436214447,103782.02101826668,95324.42406463623,105179.48387503624,97358.45286941528,102265.76923789977,0.8024220535977069
Neurological_Pathology_Chronic_Progressive,83922.52849054337,91038.7161397934,91135.68125081062,91050.78368353844,96024.81400346756,90634.50471363068,0.8121735449800769
DQTR,91181.45540452003,83919.68005752563,85706.99097514153,85819.03241157532,86237.34136021137,86572.90004179478,0.8214880427132716
Cervical,83347.19381260872,81608.62808966637,77038.00040912628,77942.26019120216,82856.17189621925,80558.45087976455,0.830155437564859
Central_cord_syndrome_of_cervical_spinal_cord,68646.6987695694,64729.29111480713,72287.92856431007,67998.01174783707,67901.59349489212,68312.70473828315,0.8375052956974381
Other_and_unspecified_injuries_of_cervical_spinal_cord,59688.024252176285,61650.003123283386,59922.75969815254,63282.97891449928,57438.342004299164,60396.421598482135,0.8440034300073728
Concussion,61658.220271110535,56376.900992155075,59965.28374004364,58869.56235074997,64409.66604089737,60255.926678991316,0.8504864482751223
Traumatic_cerebral_edema,54646.68735957146,47732.10536193848,50085.42161941528,48474.87799024582,44715.82471728325,49130.98340969086,0.8557725185509045
Neurological_Complications,42564.90194988251,47605.36562728882,43660.64943242073,41694.966745615005,45501.64420294762,44205.505591630936,0.8605286498740922
WL,40012.03554058075,38394.426235198975,44202.09021997452,38629.288241147995,42995.2844517231,40846.624937725064,0.8649233945945234
AWEEKEND,41055.421067237854,38679.32431268692,38606.799281835556,39349.21496486664,42055.15327978134,39949.18258128166,0.8692215822539028
Structural_Pathology,38308.82195162773,38653.97056865692,38889.93046140671,37759.07657289505,40762.50894165039,38874.86169924736,0.8734041822476778
Concussion_and_edema_of_cervical_spinal_cord,38690.90960454941,37079.672417640686,39864.395823955536,39864.94330453873,36510.65988278389,38402.11620669365,0.877535918901809
FEMALE,36821.567933797836,39969.74030709267,36887.90582561493,36964.349821567535,38190.226677656174,37766.75811314583,0.8815992965022497
Other_incomplete_lesions_of_cervical_spinal_cord,36750.09163427353,39171.449907541275,37373.08354592323,36969.090161800385,36860.39837360382,37424.82272462845,0.8856258848025778
OND,34980.515395879745,36781.148706912994,39793.54758429527,36223.56718492508,38197.73852062225,37195.30347852707,0.8896277788106215
Other_and_unspecified_injuries_of_thoracic_spinal_cord,37402.40847206116,36492.4635412693,36518.927730321884,34893.25784659386,36003.13062596321,36262.037643241885,0.8935292614601104
HTNU,35954.137994766235,36255.13486266136,36444.04086613655,35017.21525478363,33361.47779226303,35406.401354122165,0.8973386850209977
Arr,35575.00096797943,36903.67667746544,33366.4768075943,33288.41538667679,36260.66961598396,35078.84789113999,0.9011128666529791
Thoracic,33094.078318834305,36293.45961976051,33288.345574855804,35886.04869174957,31924.674169063568,34097.32127485275,0.9047814444824072
Unspecified_intracranial_injury,33507.20353317261,32721.71592617035,31933.029881954193,33860.84885430336,36660.093254089355,33736.57828993797,0.9084112094764834
Complete_lesion_of_thoracic_spinal_cord,35793.64714384079,32738.751354455948,32338.662402153015,33786.04336953163,30531.912217140198,33037.80329742432,0.9119657923052328
Traumatic_subarachnoid_hemorrhage,29614.322264671326,32132.085386037827,37184.53040623665,32892.21306014061,33220.28057026863,33008.68633747101,0.915517242400097
Traumatic_subdural_hemorrhage,34086.48793768883,32715.223756551743,32372.44717144966,33061.81341743469,31914.815135240555,32830.157483673094,0.9190494843293204
Mental_Health___Psychological_Impact,33806.29496335983,33321.05943107605,31458.50204539299,32657.01108789444,30855.764119148254,32419.726329374313,0.9225375674045088
DrugA,28306.3195540905,26126.18055486679,29476.612278223038,25923.55082464218,26382.315481185913,27242.995738601683,0.9254686788947111
Musculoskeletal___Mobility_Issues,25338.40170431137,29027.2756690979,26753.584455251694,23973.95265197754,26622.33606338501,26343.110108804703,0.9283029704487111
Hematologic_Pathology,25722.14839410782,25465.762046337128,28133.34370827675,22390.1537630558,27080.629766464233,25758.407535648344,0.9310743530463331
Dep,25228.62804889679,25469.63529109955,24736.49435710907,26866.33982849121,24995.546223640442,25459.328749847413,0.9338135573448448
Lumbar_and_Sacral,26128.482274770737,25541.126321077347,23664.626358747482,23557.86428976059,23758.359543800354,24530.0917576313,0.9364527837535848
Other_and_unspecified_injury_of_lumbar_and_sacral_spinal_cord,22367.02977371216,25801.85477399826,27226.9160091877,19253.612855196,25375.48544406891,24004.979771232604,0.9390355126393745
Neurological_Pathology_Acute,23870.381968975067,25632.029055595398,23036.56028652191,24363.212408065796,23039.793606758118,23988.395465183257,0.9416164571968003
Coag,23494.793278694153,24411.784258127213,21745.95519709587,23661.955694675446,25518.753453969955,23766.648376512527,0.9441735436790805
_Complete_lesion_of_cervical_spinal_cord,21072.971946001053,22820.486105918884,23575.13002371788,24959.820729255676,24863.80168390274,23458.442097759245,0.9466974698226932
