CHF,I099,I110,I130,I132,I255,I420,I425,I426,I427,I428,I429,I43.x,I50.x,P290,I42.5x,I42.6x,I42.7x,I42.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arr,I441,I442,I443,I456,I459,I47.x,I48.x,I49.x,R000,R001,R008,T821,Z450,Z950,I44.1x,I442.x,I47,I48,I49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ValD,A520,I05.x,I06.x,I07.x,I08.x,I091,I098,I34.x,I35.x,I36.x,I37.x,I38.x,I39.x,Q230,Q231,Q232,Q233,Z952,Z954,Q23.0x,Q23.1x,Q23.2x,I05,I06,I07,I08,I34,I35,I36,I37,I38,I39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PulmCD,I26.x,I27.x,I280,I288,I289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVD,I70.x,I71.x,I731,I738,I739,I771,I790,I792,K551,K558,K559,Z958,Z959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTNU,I10.x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTNC,I11.x,I12.x,I13.x,I15.x,I11,I12,I13,I15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa,G041,G114,G801,G802,G81.x,G82.x,G830,G831,G832,G833,G834,G839,G83.0x,G83.1x,G83.2x,G83.3x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OND,G10.x,G11.x,G12.x,G13.x,G20.x,G21.x,G22.x,G254,G255,G312,G318,G319,G32.x,G35.x,G36.x,G37.x,G40.x,G41.x,G931,G934,R470,R56.x,G10,G11,G12,G13,G20,G21,G22,G35,G36,G37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPD,I278,I279,J40.x,J41.x,J42.x,J43.x,J44.x,J45.x,J46.x,J47.x,J60.x,J61.x,J62.x,J63.x,J64.x,J65.x,J66.x,J67.x,J684,J701,J703,J40,J41,J42,J43,J44,J45,J46,J47,J60,J61,J62,J63,J64,J65,J66,J67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMU,E100,E101,E109,E110,E111,E119,E120,E121,E129,E130,E131,E139,E140,E141,E149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMC,E102,E103,E104,E105,E106,E107,E108,E112,E113,E114,E115,E116,E117,E118,E122,E123,E124,E125,E126,E127,E128,E132,E133,E134,E135,E136,E137,E138,E142,E143,E144,E145,E146,E147,E148,E1169,E11.6,E10.2x,E10.3x,E10.4x,E10.5x,E10.6x,E10.7x,E11.2x,E11.3x,E11.4x,E11.5x,E11.6x,E11.7x,E12.2x,E12.3x,E12.4x,E12.5x,E12.6x,E12.7x,E13.2x,E13.3x,E13.4x,E13.5x,E13.6x,E13.7x,E14.2x,E14.3x,E14.4x,E14.5x,E14.6x,E14.7x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HypoT,E00.x,E01.x,E02.x,E03.x,E890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,I120,I131,N18.x,N19.x,N250,Z490,Z491,Z492,Z940,Z992,Z49.0x,Z49.1x,Z49.2x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LD,B18.x,I85.x,I864,I982,K70.x,K711,K713,K714,K715,K717,K72.x,K73.x,K74.x,K760,K762,K763,K764,K765,K766,K767,K768,K769,Z944,K71.3x,K71.4x,K72,K73,K74,K76.2x,K76.3x,K76.4x,K76.5x,K76.6x,K76.7x,K76.8x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD,K257,K259,K267,K269,K277,K279,K287,K289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,B20.x,B21.x,B22.x,B24.x,B20,B21,B22,B24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lym,C81.x,C82.x,C83.x,C84.x,C85.x,C88.x,C96.x,C900,C902,C81,C82,C83,C84,C85,C88,C96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mets,C77.x,C78.x,C79.x,C80.x,C77,C78,C79,C80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
