feature,importance
AGE,1435672.6946454048
I10_NPR,1349540.1778964996
DRG_NoPOA,890950.1162048578
HOSP_NIS,598902.8088074923
APRDRG,439403.8167953491
NIS_STRATUM,354375.965264678
AMONTH,285957.1063466072
DRG,281186.34539055824
source,267261.01442062855
PAY1,229602.54718255997
ELECTIVE,220691.4648888111
Pa,207632.93153202534
PL_NCHS,195516.2069107294
TRAN_IN,176729.88811564445
DRGVER,170280.47400271893
ZIPINC_QRTL,155273.61439681053
MDC_NoPOA,147188.77780747414
YEAR,144756.9443473816
RACE,143245.96389472485
HOSP_DIVISION,142313.88585829735
HCUP_ED,137025.24107313156
MDC,133404.49648833275
Urological___Gastrointestinal_Issues,120890.71387076378
FED,111015.11534810066
DQTR,105668.5456763506
Neurological_Pathology_Chronic_Progressive,92556.21220207214
Cervical,89029.27030706406
Central_cord_syndrome_of_cervical_spinal_cord,73609.47921180725
Other_and_unspecified_injuries_of_cervical_spinal_cord,66800.67302024364
Concussion,61255.199120640755
Neurological_Complications,51851.90158331394
FEMALE,48713.233134031296
WL,48504.75412464142
AWEEKEND,48050.02773177624
Arr,47816.365468502045
HTNU,47252.103251457214
Mental_Health___Psychological_Impact,45839.23164343834
Other_incomplete_lesions_of_cervical_spinal_cord,45615.87610721588
OND,45303.95636963844
Traumatic_subdural_hemorrhage,43797.978435754776
Traumatic_cerebral_edema,43172.53132939339
Structural_Pathology,43154.855368852615
Thoracic,42995.564104914665
Traumatic_subarachnoid_hemorrhage,40357.79594695568
Complete_lesion_of_thoracic_spinal_cord,39966.6899831295
Concussion_and_edema_of_cervical_spinal_cord,37411.687828183174
Other_and_unspecified_injuries_of_thoracic_spinal_cord,36815.88658094406
Musculoskeletal___Mobility_Issues,33573.80500245094
DrugA,32740.86288189888
Unspecified_intracranial_injury,32703.973318099976
Lumbar_and_Sacral,32530.40569460392
Dep,30083.11291384697
Coag,30081.855689048767
Neurological_Pathology_Acute,30033.293411016464
Epidural_hemorrhage,28093.96883583069
Hematologic_Pathology,27695.216923236847
_Complete_lesion_of_cervical_spinal_cord,25107.782873630524
Other_and_unspecified_injury_of_lumbar_and_sacral_spinal_cord,22404.843609809875
