Cervical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concussion and edema of cervical spinal cord,S140,S140XXA,S140XXD,S140XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other and unspecified injuries of cervical spinal cord,S141,S1410,S14101,S14101A,S14101D,S14101S,S14102,S14102A,S14102D,S14102S,S14103,S14103A,S14103D,S14103S,S14104,S14104A,S14104D,S14104S,S14105,S14105A,S14105D,S14105S,S14106,S14106A,S14106D,S14106S,S14107,S14107A,S14107D,S14107S,S14108,S14108A,S14108D,S14108S,S14109,S14109A,S14109D,S14109S
 Complete lesion of cervical spinal cord,S1411,S14111,S14111A,S14111D,S14111S,S14112,S14112A,S14112D,S14112S,S14113,S14113A,S14113D,S14113S,S14114,S14114A,S14114D,S14114S,S14115,S14115A,S14115D,S14115S,S14116,S14116A,S14116D,S14116S,S14117,S14117A,S14117D,S14117S,S14118,S14118A,S14118D,S14118S,S14119,S14119A,S14119D,S14119S,
Central cord syndrome of cervical spinal cord,S1412,S14121,S14121A,S14121D,S14121S,S14122,S14122A,S14122D,S14122S,S14123,S14123A,S14123D,S14123S,S14124,S14124A,S14124D,S14124S,S14125,S14125A,S14125D,S14125S,S14126,S14126A,S14126D,S14126S,S14127,S14127A,S14127D,S14127S,S14128,S14128A,S14128D,S14128S,S14129,S14129A,S14129D,S14129S,
Anterior cord syndrome of cervical spinal cord,S1413,S14131,S14131A,S14131D,S14131S,S14132,S14132A,S14132D,S14132S,S14133,S14133A,S14133D,S14133S,S14134,S14134A,S14134D,S14134S,S14135,S14135A,S14135D,S14135S,S14136,S14136A,S14136D,S14136S,S14137,S14137A,S14137D,S14137S,S14138,S14138A,S14138D,S14138S,S14139,S14139A,S14139D,S14139S,
Brown-Séquard syndrome of cervical spinal cord,S1414,S14141,S14141A,S14141D,S14141S,S14142,S14142A,S14142D,S14142S,S14143,S14143A,S14143D,S14143S,S14144,S14144A,S14144D,S14144S,S14145,S14145A,S14145D,S14145S,S14146,S14146A,S14146D,S14146S,S14147,S14147A,S14147D,S14147S,S14148,S14148A,S14148D,S14148S,S14149,S14149A,S14149D,S14149S,
Other incomplete lesions of cervical spinal cord,S1415,S14151,S14151A,S14151D,S14151S,S14152,S14152A,S14152D,S14152S,S14153,S14153A,S14153D,S14153S,S14154,S14154A,S14154D,S14154S,S14155,S14155A,S14155D,S14155S,S14156,S14156A,S14156D,S14156S,S14157,S14157A,S14157D,S14157S,S14158,S14158A,S14158D,S14158S,S14159,S14159A,S14159D,S14159S,
Injury of nerve root of cervical spine,S142,S142XXA,S142XXD,S142XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury of brachial plexus,S143,S143XXA,S143XXD,S143XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury of peripheral nerves of neck,S144,S144XXA,S144XXD,S144XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury of cervical sympathetic nerves,S145,S145XXA,S145XXD,S145XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Injury of other specified nerves of neck,S148,S148XXA,S148XXD,S148XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury of unspecified nerves of neck,S149,S149XXA,S149XXD,S149XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumbar and Sacral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concussion and edema of lumbar and sacral spinal cord,S340,S3401,S3401XA,S3401XD,S3401XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concussion and edema of sacral spinal cord,S3402,S3402XA,S3402XD,S3402XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other and unspecified injury of lumbar and sacral spinal cord,S341,S3410,S34101,S34101A,S34101D,S34101S,S34102,S34102A,S34102D,S34102S,S34103,S34103A,S34103D,S34103S,S34104,S34104A,S34104D,S34104S,S34105,S34105A,S34105D,S34105S,S34109,S34109A,S34109D,S34109S,,,,,,,,,,,,
Complete lesion of lumbar spinal cord,S3411,S34111,S34111A,S34111D,S34111S,S34112,S34112A,S34112D,S34112S,S34113,S34113A,S34113D,S34113S,S34114,S34114A,S34114D,S34114S,S34115,S34115A,S34115D,S34115S,S34119,S34119A,S34119D,S34119S,,,,,,,,,,,,,
Incomplete lesion of lumbar spinal cord,S3412,S34121,S34121A,S34121D,S34121S,S34122,S34122A,S34122D,S34122S,S34123,S34123A,S34123D,S34123S,S34124,S34124A,S34124D,S34124S,S34125,S34125A,S34125D,S34125S,S34129,S34129A,S34129D,S34129S,,,,,,,,,,,,,
Other and unspecified injury to sacral spinal cord,S3413,S34131,S34131A,S34131D,S34131S,S34132,S34132A,S34132D,S34132S,S34139,S34139A,S34139D,S34139S,,,,,,,,,,,,,,,,,,,,,,,,,
Injury of nerve root of lumbar and sacral spine,S342,S3421,S3421XA,S3421XD,S3421XS,S3422,S3422XA,S3422XD,S3422XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury of cauda equina,S343,S343XXA,S343XXD,S343XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury of lumbosacral plexus,S344,S344XXA,S344XXD,S344XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Injury of lumbar, sacral and pelvic sympathetic nerves",S345,S345XXA,S345XXD,S345XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Injury of peripheral nerve(s) at abdomen, lower back and pelvis level",S346,S346XXA,S346XXD,S346XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Injury of other nerves at abdomen, lower back and pelvis level",S348,S348XXA,S348XXD,S348XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Injury of unspecified nerves at abdomen, lower back and pelvis level",S349,S349XXA,S349XXD,S349XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thoracic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concussion and edema of thoracic spinal cord,S24,S240,S240XXA,S240XXD,S240XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other and unspecified injuries of thoracic spinal cord,S241,S2410,S24101,S24101A,S24101D,S24101S,S24102,S24102A,S24102D,S24102S,S24103,S24103A,S24103D,S24103S,S24104,S24104A,S24104D,S24104S,S24109,S24109A,S24109D,S24109S,,,,,,,,,,,,,,,,
Complete lesion of thoracic spinal cord,S2411,S24111,S24111A,S24111D,S24111S,S24112,S24112A,S24112D,S24112S,S24113,S24113A,S24113D,S24113S,S24114,S24114A,S24114D,S24114S,S24115,S24119,S24119A,S24119D,S24119S,,,,,,,,,,,,,,,,
Anterior cord syndrome of thoracic spinal cord,S2413,S24131,S24131A,S24131D,S24131S,S24132,S24132A,S24132D,S24132S,S24133,S24133A,S24133D,S24133S,S24134,S24134A,S24134D,S24134S,S24139,S24139A,S24139D,S24139S,,,,,,,,,,,,,,,,,
Brown-Séquard syndrome of thoracic spinal cord,S2414,S24141,S24141A,S24141D,S24141S,S24142,S24142A,S24142D,S24142S,S24143,S24143A,S24143D,S24143S,S24144,S24144A,S24144D,S24144S,S24149,S24149A,S24149D,S24149S,,,,,,,,,,,,,,,,,
Other incomplete lesions of thoracic spinal cord,S2415,S24151,S24151A,S24151D,S24151S,S24152,S24152A,S24152D,S24152S,S24153,S24153A,S24153D,S24153S,S24154,S24154A,S24154D,S24154S,S24159,S24159A,S24159D,S24159S,,,,,,,,,,,,,,,,,
Injury of nerve root of thoracic spine,S242,S242XXA,S242XXD,S242XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury of peripheral nerves of thorax,S243,S243XXA,S243XXD,S243XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury of thoracic sympathetic nervous system,S244,S244XXA,S244XXD,S244XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury of other specified nerves of thorax,S248,S248XXA,S248XXD,S248XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury of unspecified nerve of thorax,S249,S249XXA,S249XXD,S249XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated Complications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraplegia,G8220,G8221,G8222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetraplegia,G8250,G8251,G8252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinal Shock,G950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure Ulcers,L8910,L8911,L8912,L8913,L8990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autonomic Dysreflexia,I676,G952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neurogenic Bladder,N319,N3281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neurogenic Bowel,K5989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscle Contractures,M62830,M62831,M62838,M6250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVT,I8290,I2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osteoporosis,M810,M8008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Pain,G8929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladder Dysfunction,N393,N318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual Dysfunction,N529,F529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinal Deformity,M419,M4309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinal Fracture,S12909A,S12909D,S22109A,S22109D,S32909A,S32909D,S32909S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Post-Operative Complications (infection, etc.)",T814,T8189,T8410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heterotropic Ossification,M870,M899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTI,N390,N393,N159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowel Obstruction,K56609,K589,K5900,K591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinal Stenosis,M4800,M4810,M4830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropathic Pain,G639,G569,G909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musculoskeletal deformity (spasticity),M6250,M625,G250,G249,M159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mental Health Issues,F067,F329,F419,F4489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Disorders,G4700,G4710,R400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeletal Issues,M899,M791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Conditions and Pressure Issues,L8914,L8915,L8990,L981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulmonary Issues,J980,I279,J449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequelae of SCI,G959,S9690S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated Symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis,G8250,G8251,G8252,G8220,G8221,G8222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensory Loss,R200,R202,R208,R209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain,G541,G569,M545,M791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autonomic Dysfunction,I4891,I10,I709,R002,R42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
