feature,mean_abs_shap
AGE,0.8042724251368523
I10_NPR,0.42716310028264565
DRG_NoPOA,0.30539301254594736
APRDRG,0.18242760005072653
PAY1,0.17762084007974294
FED,0.13271061209574608
Pa,0.12524806037429614
NIS_STRATUM,0.11784052159226774
DRG,0.11703353647938043
Urological___Gastrointestinal_Issues,0.11348098065582897
Neurological_Pathology_Chronic_Progressive,0.1083175440882566
Concussion,0.10793332160639453
HOSP_NIS,0.10513201183052485
YEAR,0.09647272093336089
MDC_NoPOA,0.08198831339524379
TRAN_IN,0.08146022009053519
OND,0.07833142941251339
AMONTH,0.06722798523180475
HOSP_DIVISION,0.06284004395341321
RACE,0.06280737237933194
DQTR,0.06263612811035361
ELECTIVE,0.06223967295098773
source,0.06179588485464097
Arr,0.05630176296485804
HCUP_ED,0.05180741521504895
MDC,0.05157618457547046
WL,0.04606822866468317
Traumatic_cerebral_edema,0.04481722906386743
ZIPINC_QRTL,0.04161873045828713
Dep,0.04050592431715172
Traumatic_subarachnoid_hemorrhage,0.04043067511133873
PL_NCHS,0.03951363441700931
DRGVER,0.032571936143243926
Unspecified_intracranial_injury,0.03085559903881543
Traumatic_subdural_hemorrhage,0.030388412323436635
Coag,0.029224886152408466
Mental_Health___Psychological_Impact,0.025215048581011177
Central_cord_syndrome_of_cervical_spinal_cord,0.024244029041298337
Cervical,0.022662410372054773
FEMALE,0.022229295192537128
Structural_Pathology,0.02179077085000236
Hematologic_Pathology,0.02054445783886611
AWEEKEND,0.019072400190613913
DrugA,0.01790806857982061
Neurological_Complications,0.016552987255435567
Neurological_Pathology_Acute,0.015368657826988201
HTNU,0.01396180743632248
Musculoskeletal___Mobility_Issues,0.013487406268427305
Epidural_hemorrhage,0.01345561270896969
Other_and_unspecified_injuries_of_thoracic_spinal_cord,0.01096063017735545
Other_and_unspecified_injuries_of_cervical_spinal_cord,0.010246960036456067
Thoracic,0.009158409162670331
Other_incomplete_lesions_of_cervical_spinal_cord,0.008377837023667444
Other_and_unspecified_injury_of_lumbar_and_sacral_spinal_cord,0.006830258516377583
Complete_lesion_of_thoracic_spinal_cord,0.006058944014726051
_Complete_lesion_of_cervical_spinal_cord,0.005895443180010783
Concussion_and_edema_of_cervical_spinal_cord,0.005356559534112654
Lumbar_and_Sacral,0.003847585096696951
